,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000106772,3866.799016,4.179939959,0.114070939,36.64333772,5.84E-294,1.20E-289
ENSG00000176171,6770.238982,-4.335745979,0.127281349,-34.06426794,2.50E-254,2.57E-250
ENSG00000148926,815.1907346,-4.64513296,0.144737061,-32.09359727,5.42E-226,3.72E-222
ENSG00000162849,1477.556564,6.23842548,0.197517254,31.58420525,6.08E-219,3.14E-215
ENSG00000122884,21544.12541,-3.748231998,0.11999111,-31.23758091,3.29E-214,1.36E-210
ENSG00000107159,1636.734348,-8.375998615,0.270175184,-31.00210201,5.05E-211,1.74E-207
ENSG00000177181,817.4404085,-6.268064979,0.206992181,-30.28165103,2.00E-201,5.89E-198
ENSG00000134333,38010.5047,-3.264522836,0.107869625,-30.26359691,3.46E-201,8.91E-198
ENSG00000139329,4260.349053,6.255643276,0.207810522,30.10263008,4.48E-199,1.03E-195
ENSG00000143847,2024.655219,-5.041969463,0.172032358,-29.3082623,8.14E-189,1.68E-185
ENSG00000112715,31754.7243,-3.309763494,0.120311653,-27.50991615,1.34E-166,2.50E-163
ENSG00000152256,3564.963372,-2.851515123,0.110444092,-25.81862971,5.48E-147,9.41E-144
ENSG00000105835,17732.62229,-2.274542197,0.088534185,-25.69111803,1.47E-145,2.33E-142
ENSG00000162433,4854.152695,-2.645108679,0.108679549,-24.33860564,7.65E-131,1.13E-127
ENSG00000114023,2987.348078,-3.043623547,0.126045202,-24.14707977,8.01E-129,1.10E-125
ENSG00000197930,11900.74978,-2.359756738,0.098341726,-23.99547823,3.10E-127,4.00E-124
ENSG00000135636,3481.399352,3.077314,0.135464236,22.71680029,3.06E-114,3.71E-111
ENSG00000107957,5986.857713,2.929644355,0.130579485,22.43571684,1.76E-111,2.02E-108
ENSG00000088340,1156.746409,-3.706612562,0.168714216,-21.96977029,5.61E-107,6.08E-104
ENSG00000103888,6282.731162,3.09315152,0.141155084,21.91314282,1.95E-106,2.01E-103
ENSG00000117115,920.4485076,-3.55806321,0.163717465,-21.73294834,1.00E-104,9.83E-102
ENSG00000139174,3223.170586,2.522490779,0.11671861,21.61172744,1.39E-103,1.31E-100
ENSG00000074800,38894.36391,-2.354843531,0.111525427,-21.11485771,5.81E-99,5.21E-96
