Ensembl_ID	Control_01	Control_02	Control_03	VitC_01	VitC_02	VitC_03
ENSG00000000003	2341	2174	1862	2113	2658	2188
ENSG00000000005	0	0	3	1	0	0
ENSG00000000419	2161	1846	1407	2644	2607	2714
ENSG00000000457	779	666	517	1090	1218	1101
ENSG00000000460	302	294	200	462	569	487
ENSG00000000938	0	0	2	3	0	0
ENSG00000000971	1100	1073	975	4541	5763	4959
ENSG00000001036	1710	1544	1016	2939	3155	3032
ENSG00000001084	1540	1184	1079	2157	2126	2488
ENSG00000001167	1074	1046	864	1637	1762	2069
ENSG00000001460	419	328	282	651	635	728
ENSG00000001461	4345	3373	2850	5904	5319	6860
ENSG00000001497	1074	980	922	1519	1410	1784
ENSG00000001561	1534	1494	1230	1438	1784	1432
ENSG00000001617	43	50	20	56	39	58
ENSG00000001626	16	8	24	11	11	4
ENSG00000001629	6395	5845	4544	9297	9917	9606
ENSG00000001630	0	0	0	0	0	0
ENSG00000001631	3008	2870	2371	3759	4133	3877
ENSG00000002016	677	520	325	878	912	859
ENSG00000002079	192	327	63	42	29	31
ENSG00000002330	130	105	106	342	292	300
ENSG00000002549	1456	1294	739	2647	2956	2630
ENSG00000002586	2028	1507	1150	2723	2622	3019
ENSG00000002587	121	107	73	129	144	129
ENSG00000002726	0	1	2	3	2	0
ENSG00000002745	1	1	2	1	0	0
ENSG00000002746	18	18	40	8	22	16
ENSG00000002822	865	563	418	1897	1844	1959
ENSG00000002834	3710	3186	2272	4229	3926	5384
ENSG00000002919	146	147	107	199	246	296
ENSG00000002933	0	0	0	0	0	0
ENSG00000003056	3049	2674	2277	3544	4185	4045
ENSG00000003096	83	87	66	419	396	410
ENSG00000003137	158	152	81	336	255	300
ENSG00000003147	1006	968	811	2042	2140	2157
ENSG00000003249	139	91	82	159	146	156
ENSG00000003393	7798	5921	4588	11282	11066	11853
ENSG00000003400	7	9	4	7	9	6
ENSG00000003402	4263	3955	3415	8948	8817	9509
ENSG00000003436	1963	2413	1466	2665	3392	2985
ENSG00000003509	805	699	540	1150	1338	1166
ENSG00000003756	5230	3707	2686	6352	6402	6407
ENSG00000003987	2	5	9	16	5	5
ENSG00000003989	5	6	7	0	2	3
ENSG00000004059	261	251	253	395	484	433
ENSG00000004139	591	431	366	948	966	1070
ENSG00000004142	820	543	478	1266	1419	1332
ENSG00000004399	2809	1735	1536	8748	9531	9331
ENSG00000004455	3971	3215	3135	2719	2998	2978
ENSG00000004468	6	0	7	0	2	1
ENSG00000004478	1561	1229	1086	1801	1871	1899
ENSG00000004487	4709	3979	3204	4564	5195	4788
ENSG00000004534	6005	5375	4328	7797	7249	8284
ENSG00000004660	99	77	42	175	190	232
ENSG00000004700	3792	3924	2493	4718	5960	4792
ENSG00000004766	2478	2216	1965	3961	4785	4039
ENSG00000004776	0	0	0	5	1	0
ENSG00000004777	27	18	11	40	31	48
ENSG00000004779	1817	1558	1031	2041	2040	2066
ENSG00000004799	442	470	438	287	395	352
ENSG00000004809	3	6	3	3	5	3
ENSG00000004838	11	10	7	6	7	14
ENSG00000004846	910	406	840	3006	2642	3869
ENSG00000004848	0	0	0	1	0	2
ENSG00000004864	2203	1934	1762	4304	4911	4730
ENSG00000004866	584	487	460	1191	1283	1197
ENSG00000004897	5163	5104	3934	7222	8378	7835
ENSG00000004939	1	2	3	2	1	0
ENSG00000004948	9	3	10	5	9	1
ENSG00000004961	479	452	376	746	734	923
ENSG00000004975	433	279	224	573	628	655
ENSG00000005001	0	0	0	0	0	0
ENSG00000005007	1017	838	693	2109	2341	2318
ENSG00000005020	14	10	39	18	13	5
ENSG00000005022	1483	911	471	1652	1377	1939
ENSG00000005059	1472	1597	1610	1793	2215	1984
ENSG00000005073	0	0	0	0	0	0
ENSG00000005075	253	165	154	416	396	399
ENSG00000005100	231	184	141	421	390	462
ENSG00000005102	1	0	1	0	0	0
ENSG00000005108	275	301	220	736	886	715
ENSG00000005156	704	605	397	1170	1296	1351
ENSG00000005175	1648	1742	1605	2180	2323	2567
ENSG00000005187	161	152	161	181	169	139
ENSG00000005189	115	127	59	191	250	198
ENSG00000005194	713	606	398	1117	1277	1159
ENSG00000005206	160	113	94	269	223	335
ENSG00000005238	917	667	411	1228	1241	1479
ENSG00000005243	744	669	512	988	1176	1062
ENSG00000005249	43	41	32	44	41	44
ENSG00000005302	996	931	723	1497	1499	1720
ENSG00000005339	2425	1938	1624	4452	4217	5342
ENSG00000005379	658	434	343	830	698	985
ENSG00000005381	0	1	1	2	0	0
ENSG00000005421	0	1	2	3	3	3
ENSG00000005436	1412	1350	1149	2359	2377	2381
ENSG00000005448	670	544	366	230	339	259
ENSG00000005469	964	1012	725	1647	1814	1664
ENSG00000005471	2	1	6	1	4	3
ENSG00000005483	5796	4725	4949	7433	7741	8257
ENSG00000005486	184	148	124	301	329	387
ENSG00000005513	7	2	13	38	24	30
ENSG00000005700	2247	1841	1151	2747	3190	2944
ENSG00000005801	876	855	696	1498	1714	1560
ENSG00000005810	5118	4464	3660	8738	9784	9417
ENSG00000005812	3778	3543	3108	4725	5437	4965
ENSG00000005844	2	0	1	4	0	0
ENSG00000005882	368	250	193	501	516	669
ENSG00000005884	19817	15283	8913	26176	27918	27927
ENSG00000005889	3079	2487	2345	4168	4524	4482
ENSG00000005893	12390	11162	7970	13987	14507	14699
ENSG00000005961	20	9	14	17	12	26
ENSG00000005981	4	3	8	3	2	0
ENSG00000006007	3090	2999	2270	3842	4607	3892
ENSG00000006015	45	67	38	153	152	176
ENSG00000006016	69	84	60	81	64	35
ENSG00000006025	238	172	136	455	371	492
ENSG00000006042	1267	1060	737	2094	2114	2480
ENSG00000006047	2	0	0	3	0	0
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	489	385	307	686	552	828
ENSG00000006071	0	0	8	6	3	0
ENSG00000006116	2	0	12	0	3	2
ENSG00000006118	765	616	454	1671	1663	1783
ENSG00000006125	2342	2112	1691	3537	4200	4193
ENSG00000006128	1	0	1	0	0	0
ENSG00000006194	1212	996	721	1278	1450	1366
ENSG00000006210	1	0	0	0	0	0
ENSG00000006282	457	283	169	1212	1256	1314
ENSG00000006283	3	2	3	1	0	0
ENSG00000006327	2574	2218	1480	4387	5588	3969
ENSG00000006377	3	1	1	0	0	1
ENSG00000006432	709	489	515	1034	1202	1146
ENSG00000006451	4300	4176	3976	5243	4651	6629
ENSG00000006453	1018	844	744	1446	1201	1730
ENSG00000006459	2070	1755	1719	1824	1717	1867
ENSG00000006468	1350	1544	1017	3495	3922	3595
ENSG00000006530	580	441	385	1354	1588	1276
ENSG00000006534	178	116	88	351	360	449
ENSG00000006555	1	1	1	0	1	0
ENSG00000006576	1728	1622	1300	3075	3338	3172
ENSG00000006606	0	2	0	4	4	1
ENSG00000006607	1235	883	736	1733	1955	1802
ENSG00000006611	0	0	0	0	0	0
ENSG00000006625	377	458	490	595	684	757
ENSG00000006634	283	320	215	769	789	787
ENSG00000006638	6	6	4	12	13	26
ENSG00000006652	4538	3948	3342	6185	7128	6912
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	632	537	489	1238	1350	1242
ENSG00000006704	1388	976	716	2683	2702	3316
ENSG00000006712	1695	1460	1176	2382	1616	2938
ENSG00000006715	5862	4977	4734	7638	8573	8521
ENSG00000006740	99	104	116	270	225	240
ENSG00000006744	1366	1042	717	2432	2586	2901
ENSG00000006747	3	3	12	12	26	26
ENSG00000006756	919	846	618	1519	1713	1687
ENSG00000006757	231	198	176	307	220	337
ENSG00000006788	3	1	3	3	2	2
ENSG00000006831	1507	1247	1007	2854	3051	2822
ENSG00000006837	0	0	0	0	0	0
ENSG00000007001	50	44	54	49	68	49
ENSG00000007038	0	0	0	0	0	0
ENSG00000007047	506	389	285	838	701	1158
ENSG00000007062	3	0	5	3	5	3
ENSG00000007080	453	288	266	626	345	964
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	6640	5547	4597	8500	9714	9868
ENSG00000007171	0	2	1	2	0	0
ENSG00000007174	17	11	40	10	11	4
ENSG00000007202	7918	5258	3988	11012	11200	12531
ENSG00000007216	0	2	0	2	1	0
ENSG00000007237	1370	1105	890	2559	2376	3092
ENSG00000007255	43	30	18	56	49	71
ENSG00000007264	0	1	0	2	1	1
ENSG00000007306	0	1	2	1	1	2
