Feature,logFC,logCPM,LR,PValue,FDR
ENSG00000107159,9.249882989,5.513045832,1090.208121,4.44E-239,2.59E-234
ENSG00000162849,-6.621627052,5.464800272,1070.427208,8.84E-235,2.58E-230
ENSG00000106772,-4.324795521,6.843253896,1048.711806,4.64E-230,9.01E-226
ENSG00000176171,4.326006951,7.566408399,921.5983379,1.98E-202,2.89E-198
ENSG00000139329,-6.668603272,6.983726017,825.8198078,1.31E-181,1.53E-177
ENSG00000177181,6.512578427,4.503563387,792.3030456,2.54E-174,2.47E-170
ENSG00000186340,-6.664531439,4.81577337,736.4001428,3.64E-162,3.03E-158
ENSG00000137507,-9.47318837,3.870236436,703.6901818,4.71E-155,3.43E-151
ENSG00000143847,5.129432091,5.824700535,666.7361423,5.12E-147,3.32E-143
ENSG00000148926,4.668118446,4.502701277,647.6890217,7.11E-143,4.14E-139
ENSG00000122884,3.721219783,9.239553059,627.0490586,2.19E-138,1.16E-134
ENSG00000152256,2.803941042,6.648188539,532.305132,8.90E-118,4.32E-114
ENSG00000114023,3.01006646,6.389837044,529.7971792,3.13E-117,1.40E-113
ENSG00000135636,-3.226118368,6.688382513,498.7528455,1.78E-110,7.39E-107
ENSG00000162433,2.594026093,7.096124218,457.7283633,1.50E-101,5.83E-98
ENSG00000103888,-3.243956525,7.536849016,456.1272392,3.35E-101,1.22E-97
ENSG00000107957,-3.067796597,7.467175844,453.7934395,1.08E-100,3.70E-97
ENSG00000139174,-2.644277619,6.57226639,437.0526069,4.74E-97,1.54E-93
ENSG00000166741,-3.454958463,6.128935751,434.0047827,2.18E-96,6.70E-93
ENSG00000134333,3.220253339,10.06370916,430.6204956,1.19E-95,3.47E-92
ENSG00000112715,3.276873765,9.804276848,421.4638088,1.17E-93,3.25E-90
ENSG00000124212,-2.983717602,5.709137139,403.3911572,1.01E-89,2.67E-86
ENSG00000088340,3.742639841,5.017689497,367.5155446,6.50E-82,1.65E-78
ENSG00000117115,3.579884078,4.684013112,352.382497,1.28E-78,3.12E-75
ENSG00000013619,-2.615532747,6.009436461,346.8780281,2.03E-77,4.73E-74
