,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000008000,2017.739636,-3.279232843,0.094306853,-34.77194628,6.46E-265,9.38E-261
ENSRNOG00000056714,6249.198957,-2.519687414,0.076748039,-32.83064229,2.15E-236,1.56E-232
ENSRNOG00000005580,6957.420817,1.968931711,0.066398769,29.65313575,3.09E-193,1.50E-189
ENSRNOG00000010286,35746.51846,-2.053864105,0.070617951,-29.08416448,5.69E-186,2.07E-182
ENSRNOG00000020060,3638.948452,2.226661695,0.080191226,27.76689923,1.09E-169,3.16E-166
ENSRNOG00000031232,1772.07878,2.287894064,0.083542985,27.38583082,4.05E-165,9.79E-162
ENSRNOG00000007159,873.0730467,-3.009414433,0.112001175,-26.86948981,4.99E-159,1.04E-155
ENSRNOG00000058003,1031.730758,-2.806095187,0.107575741,-26.08483259,5.42E-150,9.83E-147
ENSRNOG00000025332,4628.17998,2.122393684,0.091309886,23.24385436,1.64E-119,2.65E-116
ENSRNOG00000021079,2376.179107,2.565718023,0.112675986,22.77076177,8.94E-115,1.30E-111
ENSRNOG00000020942,6175.350053,1.833652037,0.083670769,21.91508531,1.87E-106,2.46E-103
ENSRNOG00000054957,1177.699334,-2.959811613,0.136023614,-21.75954247,5.61E-105,6.79E-102
ENSRNOG00000013426,511.7399244,2.584634602,0.118963697,21.72624645,1.16E-104,1.29E-101
ENSRNOG00000011107,519.121406,-2.612287023,0.120553683,-21.66907691,4.02E-104,4.17E-101
ENSRNOG00000024082,343.6112245,3.568081223,0.166188837,21.47004142,2.97E-102,2.87E-99
ENSRNOG00000010210,360.0302652,3.386306489,0.161580538,20.95739079,1.61E-97,1.46E-94
ENSRNOG00000061484,551.75765,2.34483928,0.11554273,20.29413076,1.45E-91,1.24E-88
ENSRNOG00000017628,952.2515371,2.216936844,0.109480834,20.24954282,3.59E-91,2.89E-88
ENSRNOG00000007546,1294.670028,1.734984681,0.085691573,20.24685298,3.79E-91,2.89E-88
ENSRNOG00000013306,8521.978643,2.140252606,0.105822416,20.22494559,5.91E-91,4.29E-88
ENSRNOG00000022337,5514.612964,1.472481391,0.073366514,20.07021076,1.34E-89,9.29E-87
ENSRNOG00000018338,18920.92844,1.390182678,0.06951567,19.99811966,5.72E-89,3.77E-86
ENSRNOG00000057620,3372.055829,-1.777781665,0.089629585,-19.83476403,1.49E-87,9.42E-85
ENSRNOG00000003736,43753.9254,1.260853625,0.063640015,19.8122772,2.33E-87,1.41E-84
ENSRNOG00000008586,597.2393382,2.152170096,0.111422285,19.31543676,3.98E-83,2.31E-80
ENSRNOG00000010775,3716.810648,1.37284571,0.071192292,19.28362858,7.37E-83,4.12E-80
ENSRNOG00000020525,5978.46815,1.862901157,0.098228791,18.96492002,3.33E-80,1.79E-77
ENSRNOG00000001953,2760.221577,-1.646797542,0.087861659,-18.74307362,2.21E-78,1.14E-75
ENSRNOG00000011858,448.1379858,-2.847432943,0.152989468,-18.61195403,2.57E-77,1.29E-74
ENSRNOG00000010598,331.5362567,-2.640356361,0.142089747,-18.5823144,4.47E-77,2.16E-74
ENSRNOG00000008027,1036.891643,1.701194622,0.091619682,18.56800396,5.83E-77,2.73E-74
ENSRNOG00000000341,5319.942435,1.319050441,0.071068496,18.56026961,6.74E-77,3.06E-74
ENSRNOG00000006784,1440.601436,1.637844213,0.088274217,18.55404971,7.56E-77,3.33E-74
ENSRNOG00000026589,29663.33014,-1.146530761,0.062184228,-18.43764558,6.55E-76,2.80E-73
ENSRNOG00000058470,83506.58711,1.557633989,0.084721067,18.38543879,1.72E-75,7.13E-73
