Gene_ID,logFC,logCPM,LR,PValue,FDR
ENSRNOG00000008000,3.344018782,6.193720502,926.0617257,2.12E-203,6.97E-199
ENSRNOG00000056714,2.552068125,7.822994967,725.5730419,8.22E-160,1.35E-155
ENSRNOG00000007159,3.095805249,4.989226945,711.8072834,8.09E-157,8.87E-153
ENSRNOG00000058003,2.879016326,5.227207547,649.7014503,2.59E-143,2.13E-139
ENSRNOG00000024082,-3.817110667,3.640578549,541.9100326,7.24E-120,4.76E-116
ENSRNOG00000031232,-2.323722393,6.005070752,529.0993899,4.43E-117,2.43E-113
ENSRNOG00000020060,-2.259084802,7.042976114,523.5165431,7.27E-116,3.41E-112
ENSRNOG00000010286,2.076422771,10.33901382,516.5446399,2.39E-114,9.82E-111
ENSRNOG00000010210,-3.60727689,3.706855387,513.6788109,1.00E-113,3.67E-110
ENSRNOG00000011107,2.699532175,4.241977646,496.4908583,5.51E-110,1.81E-106
ENSRNOG00000013426,-2.66761184,4.214934686,495.9550419,7.21E-110,2.16E-106
ENSRNOG00000005580,-1.988635739,7.977927649,486.7164738,7.38E-108,2.02E-104
ENSRNOG00000021079,-2.639028939,6.42785755,483.7434795,3.27E-107,8.28E-104
ENSRNOG00000054957,3.089956195,5.421347073,449.8603318,7.74E-100,1.82E-96
ENSRNOG00000013515,4.387772687,2.508483025,442.3998543,3.25E-98,7.13E-95
ENSRNOG00000025332,-2.161744441,7.390013349,426.9917127,7.34E-95,1.51E-91
ENSRNOG00000017628,-2.277294783,5.109517773,425.1905376,1.81E-94,3.50E-91
ENSRNOG00000061484,-2.41636832,4.322910449,416.527359,1.39E-92,2.54E-89
ENSRNOG00000010598,2.767219944,3.600965691,389.4369846,1.10E-86,1.90E-83
ENSRNOG00000020942,-1.862192858,7.805491076,379.9130551,1.30E-84,2.14E-81
ENSRNOG00000008586,-2.213340662,4.436895791,375.1119782,1.44E-83,2.26E-80
ENSRNOG00000011858,3.008905457,4.031471515,374.6842828,1.79E-83,2.67E-80
ENSRNOG00000013306,-2.19406608,8.270105286,356.4076376,1.71E-79,2.44E-76
ENSRNOG00000007546,-1.763714806,5.552602629,326.0781681,6.87E-73,9.22E-70
ENSRNOG00000020525,-1.903002887,7.758576908,326.0382302,7.01E-73,9.22E-70
ENSRNOG00000054080,-3.467574733,2.439757253,316.4433384,8.62E-71,1.09E-67
ENSRNOG00000001963,2.422091946,3.439167862,313.5373045,3.70E-70,4.51E-67
ENSRNOG00000005806,6.599959238,1.445459712,312.7841694,5.40E-70,6.35E-67
ENSRNOG00000046309,6.217233476,1.608885985,312.0026041,8.00E-70,9.07E-67
ENSRNOG00000030840,-3.179688529,4.221512565,308.9980601,3.61E-69,3.96E-66
ENSRNOG00000004147,-2.478220996,3.884983628,307.8349649,6.47E-69,6.86E-66
ENSRNOG00000012660,-2.956313416,4.61372964,306.9787574,9.94E-69,1.02E-65
ENSRNOG00000011971,-2.081673957,4.130851278,306.240495,1.44E-68,1.43E-65
ENSRNOG00000014117,2.405796204,3.658881458,305.8468822,1.75E-68,1.67E-65
ENSRNOG00000057620,1.808338328,6.933446967,305.8227878,1.78E-68,1.67E-65
ENSRNOG00000008027,-1.733365468,5.232876498,297.8449155,9.71E-67,8.87E-64
ENSRNOG00000002227,2.121180708,6.151451284,294.6199066,4.90E-66,4.35E-63
ENSRNOG00000018536,-2.046071381,4.155052939,294.4484985,5.34E-66,4.62E-63
ENSRNOG00000013102,-2.528399238,8.924511377,291.7049163,2.11E-65,1.78E-62
ENSRNOG00000015318,-2.929445629,2.612348826,289.9311404,5.15E-65,4.23E-62
ENSRNOG00000010447,-1.95508019,5.223769678,289.8281153,5.42E-65,4.29E-62
ENSRNOG00000006784,-1.666038804,5.706812714,289.805612,5.48E-65,4.29E-62
ENSRNOG00000020729,-2.000588163,6.953142576,288.6325612,9.87E-65,7.55E-62
ENSRNOG00000001342,-3.016547629,2.572912793,288.1718327,1.24E-64,9.30E-62
ENSRNOG00000046231,-2.441552752,4.124004753,287.7283253,1.55E-64,1.14E-61
ENSRNOG00000024705,-1.903054314,4.786094906,286.5853098,2.76E-64,1.97E-61
ENSRNOG00000001953,1.674031463,6.644643918,279.922694,7.81E-63,5.46E-60
ENSRNOG00000016731,-2.200361121,5.109988845,279.1940029,1.13E-62,7.71E-60
ENSRNOG00000057834,-2.501121533,3.625923271,275.9504778,5.73E-62,3.84E-59
ENSRNOG00000014350,-2.118064181,7.85937741,275.6888063,6.53E-62,4.30E-59
ENSRNOG00000058006,-1.900718815,6.100099881,274.7176394,1.06E-61,6.86E-59
ENSRNOG00000025639,3.890590211,3.429702016,274.284338,1.32E-61,8.36E-59
ENSRNOG00000019719,3.920844178,1.967284807,270.3503883,9.52E-61,5.91E-58
ENSRNOG00000003365,-2.726990213,3.993616123,267.9455849,3.18E-60,1.94E-57
ENSRNOG00000022337,-1.490222283,7.642748455,266.7036706,5.93E-60,3.55E-57
ENSRNOG00000008337,1.742339323,5.355924209,266.433861,6.79E-60,3.99E-57
ENSRNOG00000015982,-2.391667389,2.955531448,263.1358547,3.56E-59,2.05E-56
ENSRNOG00000006723,-4.461989952,1.535138197,258.5340103,3.58E-58,2.03E-55
ENSRNOG00000052564,-1.671014651,4.634190062,256.2673277,1.12E-57,6.23E-55
ENSRNOG00000008816,1.739390685,4.240660265,256.1032648,1.21E-57,6.65E-55
ENSRNOG00000008401,-1.530461604,4.864850272,255.1208279,1.99E-57,1.07E-54
ENSRNOG00000058470,-1.583779846,11.56334507,254.2663344,3.05E-57,1.62E-54
ENSRNOG00000023148,-3.196369062,2.023940381,253.881435,3.70E-57,1.93E-54
ENSRNOG00000011659,-2.882855066,3.232000976,252.7654199,6.48E-57,3.33E-54
ENSRNOG00000013794,2.228051452,3.489530567,249.6405297,3.11E-56,1.57E-53
ENSRNOG00000003205,-4.087310809,3.03091612,248.5604817,5.35E-56,2.67E-53
ENSRNOG00000012273,-2.067192957,3.35769903,247.8062711,7.81E-56,3.83E-53
ENSRNOG00000009073,-2.174213911,4.446233082,245.3324647,2.70E-55,1.31E-52
ENSRNOG00000001911,2.312922951,3.078476687,242.9992341,8.72E-55,4.16E-52
ENSRNOG00000012494,2.401252883,3.102035565,242.9271546,9.05E-55,4.25E-52
ENSRNOG00000015222,-2.038104759,4.51795467,242.6818406,1.02E-54,4.74E-52
ENSRNOG00000005391,-2.005076637,8.043060607,238.4800538,8.44E-54,3.85E-51
ENSRNOG00000018338,-1.405543413,9.420829144,238.3715188,8.91E-54,4.01E-51
ENSRNOG00000009331,-2.345568545,3.697663743,232.5688354,1.64E-52,7.29E-50
ENSRNOG00000015156,3.877432659,1.694732946,231.2216762,3.23E-52,1.42E-49
ENSRNOG00000010775,-1.388605757,7.073587948,229.5364967,7.52E-52,3.26E-49
ENSRNOG00000027491,-1.570166665,5.248495298,228.0811179,1.56E-51,6.67E-49
ENSRNOG00000019422,-2.542565848,3.632693246,227.6668321,1.92E-51,8.11E-49
ENSRNOG00000004870,2.087955143,3.46401748,226.6278237,3.24E-51,1.35E-48
ENSRNOG00000023991,2.378415691,2.764434704,226.2596465,3.90E-51,1.60E-48
ENSRNOG00000000341,-1.334213273,7.590763041,224.9503977,7.53E-51,3.06E-48
ENSRNOG00000003736,-1.272439558,10.63031224,221.5238373,4.21E-50,1.69E-47
ENSRNOG00000061230,-1.335513572,8.07279295,219.7612589,1.02E-49,4.04E-47
ENSRNOG00000060329,3.011135112,1.943128626,218.2319077,2.20E-49,8.60E-47
ENSRNOG00000022101,1.443222977,7.516028938,217.8425323,2.67E-49,1.03E-46
ENSRNOG00000002093,-1.588241797,6.723734254,217.377932,3.38E-49,1.29E-46
ENSRNOG00000004677,-1.608992277,10.19475887,216.5527091,5.11E-49,1.93E-46
ENSRNOG00000012094,-2.471417385,2.296741446,216.5086446,5.22E-49,1.95E-46
ENSRNOG00000015036,-1.563089264,5.249834914,216.0622174,6.54E-49,2.42E-46
ENSRNOG00000005269,-2.293773438,4.50528573,215.9967968,6.75E-49,2.47E-46
ENSRNOG00000056550,-1.552313099,5.599540765,213.8580157,1.98E-48,7.15E-46
ENSRNOG00000049695,-1.849927123,4.654035004,213.8094629,2.03E-48,7.24E-46
ENSRNOG00000004874,1.517147297,7.456273838,212.8250003,3.32E-48,1.18E-45
ENSRNOG00000038319,-2.075654361,3.341780721,212.2534634,4.43E-48,1.55E-45
ENSRNOG00000052080,-1.808132394,6.009595829,212.0714772,4.85E-48,1.68E-45
ENSRNOG00000013408,1.66064677,5.404126901,212.0260003,4.96E-48,1.70E-45
ENSRNOG00000012819,-1.473389809,6.312161131,211.9003094,5.29E-48,1.79E-45
ENSRNOG00000020557,-1.979141243,5.286075149,210.9007944,8.74E-48,2.93E-45
ENSRNOG00000026941,1.495489018,4.93248428,210.3488087,1.15E-47,3.83E-45
ENSRNOG00000039200,-1.964353557,5.622266963,210.2298646,1.22E-47,4.02E-45
ENSRNOG00000020332,-1.997002601,5.717143277,209.167018,2.09E-47,6.80E-45
ENSRNOG00000023085,1.827867798,4.190694098,208.7314919,2.60E-47,8.38E-45
ENSRNOG00000052357,-1.324764829,7.466530608,208.2179336,3.36E-47,1.07E-44
ENSRNOG00000028774,-2.257290433,6.25849418,206.5167432,7.90E-47,2.50E-44
ENSRNOG00000029342,-1.497212576,5.51204177,205.2657659,1.48E-46,4.64E-44
ENSRNOG00000020369,-2.131122597,4.900601143,204.3674536,2.33E-46,7.22E-44
ENSRNOG00000022392,-1.672679497,4.31622654,203.951509,2.87E-46,8.81E-44
ENSRNOG00000003357,-1.91486612,3.731313567,201.6118303,9.29E-46,2.83E-43
ENSRNOG00000010833,-1.361510902,6.025056937,199.4824245,2.71E-45,8.17E-43
ENSRNOG00000016243,-1.734822765,4.017675799,198.9532655,3.53E-45,1.06E-42
ENSRNOG00000042592,1.763903305,4.064279217,198.6852036,4.04E-45,1.20E-42
ENSRNOG00000033434,-2.088210742,2.913716899,198.2827447,4.95E-45,1.45E-42
ENSRNOG00000014426,-3.03352433,1.759606373,197.8309295,6.21E-45,1.81E-42
ENSRNOG00000012886,-1.525701628,5.216952873,197.7686498,6.41E-45,1.85E-42
ENSRNOG00000026415,-1.499725653,4.899478062,197.4736189,7.43E-45,2.13E-42
ENSRNOG00000019810,-1.555276352,4.672667416,195.3046506,2.21E-44,6.27E-42
ENSRNOG00000060775,-1.858046859,4.042316095,194.4651076,3.37E-44,9.47E-42
ENSRNOG00000026295,2.056042214,3.093256989,193.2298749,6.27E-44,1.75E-41
ENSRNOG00000007078,1.911016739,4.008511823,192.9732614,7.13E-44,1.97E-41
ENSRNOG00000060435,-2.673234942,1.956534548,191.5562687,1.45E-43,3.99E-41
ENSRNOG00000031475,-1.361556291,9.911150686,191.4866641,1.51E-43,4.09E-41
ENSRNOG00000034075,-1.838949972,3.298136251,190.6401577,2.30E-43,6.21E-41
ENSRNOG00000019181,-1.269198797,6.530461318,190.5426687,2.42E-43,6.47E-41
ENSRNOG00000017786,-1.647486165,6.187482559,189.1445292,4.89E-43,1.30E-40
ENSRNOG00000010050,-1.513437508,4.738364514,188.8114694,5.78E-43,1.52E-40
ENSRNOG00000032788,-1.903696054,3.36301071,188.2658235,7.60E-43,1.98E-40
ENSRNOG00000059538,-2.168147149,4.072101043,188.0207273,8.60E-43,2.23E-40
ENSRNOG00000002365,-1.76941102,3.982929007,187.7497803,9.85E-43,2.53E-40
ENSRNOG00000033348,-1.79075759,3.599002786,187.0486646,1.40E-42,3.57E-40
ENSRNOG00000021200,-2.587477945,2.060440017,186.2287191,2.12E-42,5.35E-40
ENSRNOG00000057794,-1.643407345,6.840157146,185.6266538,2.86E-42,7.19E-40
ENSRNOG00000020185,1.317111536,8.212541419,185.2861776,3.40E-42,8.47E-40
ENSRNOG00000011245,1.798153423,4.878990324,184.3710759,5.38E-42,1.33E-39
ENSRNOG00000014886,-1.952331712,4.683030862,183.8998377,6.82E-42,1.67E-39
ENSRNOG00000012719,-2.012855867,2.718501296,183.7733186,7.27E-42,1.77E-39
ENSRNOG00000016182,-1.634955115,6.378712877,183.7610108,7.32E-42,1.77E-39
ENSRNOG00000024294,-1.461690094,6.14947987,183.1412456,9.99E-42,2.40E-39
ENSRNOG00000016358,-1.455250576,6.983249145,182.7985674,1.19E-41,2.83E-39
ENSRNOG00000013262,-1.766332735,5.821656869,181.2051389,2.64E-41,6.26E-39
ENSRNOG00000001296,-1.879913288,3.102795649,178.0815188,1.27E-40,2.99E-38
ENSRNOG00000016758,-1.224689458,6.370267443,177.7028628,1.54E-40,3.59E-38
ENSRNOG00000027938,-1.646244857,6.377061177,176.7566598,2.48E-40,5.73E-38
ENSRNOG00000017386,2.323083547,2.429972452,176.1639504,3.33E-40,7.67E-38
ENSRNOG00000033787,-1.403398581,5.591183734,175.7190827,4.17E-40,9.52E-38
ENSRNOG00000000924,-1.535194099,6.350247677,174.6752018,7.05E-40,1.60E-37
