Gene_ID	SC_Control_01	SC_Control_02	SC_Control_03	SC_cAMP_01	SC_cAMP_02	SC_cAMP_03
ENSRNOG00000000001	70	91	93	91	60	79
ENSRNOG00000000007	2	2	2	1	0	0
ENSRNOG00000000008	16	20	18	5	3	4
ENSRNOG00000000009	2	4	2	4	2	6
ENSRNOG00000000010	76	90	79	0	1	0
ENSRNOG00000000012	0	0	0	4	5	3
ENSRNOG00000000017	80	101	100	15	19	13
ENSRNOG00000000021	226	239	315	225	237	213
ENSRNOG00000000024	272	340	296	130	157	94
ENSRNOG00000000033	578	813	795	797	729	762
ENSRNOG00000000034	89	127	162	6	7	6
ENSRNOG00000000035	1	0	1	0	1	0
ENSRNOG00000000036	0	0	0	2	4	1
ENSRNOG00000000040	421	623	516	40	36	45
ENSRNOG00000000041	7	7	1	58	39	31
ENSRNOG00000000042	2005	3431	2005	1831	1351	1612
ENSRNOG00000000043	676	836	846	951	868	963
ENSRNOG00000000044	506	598	612	847	804	911
ENSRNOG00000000047	6457	8408	7957	659	644	475
ENSRNOG00000000048	3776	5025	4446	4729	4848	4811
ENSRNOG00000000053	3	2	4	0	2	2
ENSRNOG00000000054	245	238	317	352	354	352
ENSRNOG00000000055	0	0	3	0	0	0
ENSRNOG00000000060	9	7	10	2	3	6
ENSRNOG00000000062	1388	1732	1878	1696	1519	1764
ENSRNOG00000000064	600	818	1032	1452	1743	1468
ENSRNOG00000000065	0	3	3	2	2	2
ENSRNOG00000000066	1429	2090	1651	2071	2260	2268
ENSRNOG00000000068	3756	4976	4640	1574	1572	1584
ENSRNOG00000000070	0	0	0	0	0	0
ENSRNOG00000000073	1591	1857	2041	3081	3125	2880
ENSRNOG00000000075	1390	1506	1688	2073	2052	2229
ENSRNOG00000000081	9049	14385	11747	1597	1464	1543
ENSRNOG00000000082	1592	1807	2098	1521	1502	1538
ENSRNOG00000000091	0	0	0	0	0	0
ENSRNOG00000000095	761	960	940	1164	1078	1068
ENSRNOG00000000096	35	44	22	39	30	44
ENSRNOG00000000097	7	9	5	5	3	5
ENSRNOG00000000098	1810	2183	2353	2306	2161	2113
ENSRNOG00000000104	942	997	1114	1494	1543	1330
ENSRNOG00000000105	865	1313	1149	851	780	791
ENSRNOG00000000108	1141	1296	1532	2943	3194	3062
ENSRNOG00000000109	3	4	1	0	1	2
ENSRNOG00000000111	93	87	150	327	321	251
ENSRNOG00000000112	991	1214	1242	1444	1507	1400
ENSRNOG00000000113	190	185	221	332	317	250
ENSRNOG00000000121	400	414	449	338	325	349
ENSRNOG00000000122	661	720	841	1344	1444	1268
ENSRNOG00000000123	1829	2780	2148	842	925	716
ENSRNOG00000000124	0	0	0	0	0	0
ENSRNOG00000000127	2366	2999	2972	2985	2852	3020
ENSRNOG00000000129	29	36	43	5	8	7
ENSRNOG00000000130	350	481	457	728	554	615
ENSRNOG00000000133	706	765	984	725	922	745
ENSRNOG00000000137	4	1	13	0	2	2
ENSRNOG00000000138	1205	2950	1347	328	243	332
ENSRNOG00000000142	6515	11567	8124	1213	1087	1262
ENSRNOG00000000145	2074	3551	2832	3249	3530	3198
ENSRNOG00000000150	1703	2876	1946	1753	1739	1810
ENSRNOG00000000151	99	131	109	41	32	47
ENSRNOG00000000155	2376	3126	2916	3221	3338	3420
ENSRNOG00000000156	5	26	20	462	474	442
ENSRNOG00000000157	1874	2220	2604	2368	2429	2401
ENSRNOG00000000158	116	130	189	151	124	139
ENSRNOG00000000161	1822	2369	2152	1716	1632	1843
ENSRNOG00000000164	6999	8448	8711	7370	7541	6579
ENSRNOG00000000165	68	104	68	19	30	19
ENSRNOG00000000166	166	304	214	171	151	176
ENSRNOG00000000167	8	16	12	2	4	7
ENSRNOG00000000168	100	103	102	503	528	457
ENSRNOG00000000169	161	198	235	489	506	461
ENSRNOG00000000170	3177	3717	3998	4452	4472	3856
ENSRNOG00000000172	1075	1095	1455	150	160	163
ENSRNOG00000000175	298	361	404	360	397	425
ENSRNOG00000000177	315	278	403	615	609	657
ENSRNOG00000000184	6	15	11	0	1	2
ENSRNOG00000000185	153	157	237	187	223	154
ENSRNOG00000000186	63	53	80	44	70	52
ENSRNOG00000000187	0	0	1	2	0	0
ENSRNOG00000000190	2064	2979	2326	1721	1536	1699
ENSRNOG00000000195	14	16	32	8	15	15
ENSRNOG00000000196	3	2	5	8	8	4
ENSRNOG00000000199	0	0	0	0	0	0
ENSRNOG00000000201	0	0	0	0	0	0
ENSRNOG00000000204	4558	5807	5583	5957	6334	5745
ENSRNOG00000000219	2089	2734	2561	843	873	820
ENSRNOG00000000221	1643	1983	2138	2461	2368	2326
ENSRNOG00000000230	719	1149	884	974	913	890
ENSRNOG00000000231	218	309	272	83	99	85
ENSRNOG00000000233	0	0	0	0	0	0
ENSRNOG00000000236	3023	4125	4082	5641	5735	5357
ENSRNOG00000000237	659	821	778	1134	1056	1083
ENSRNOG00000000239	6	12	12	18	10	13
ENSRNOG00000000244	366	479	518	474	559	544
ENSRNOG00000000245	9	13	12	115	132	120
ENSRNOG00000000246	1325	1494	1769	1549	1387	1393
ENSRNOG00000000247	581	562	688	620	620	693
ENSRNOG00000000248	1679	1880	2079	1959	2089	2039
ENSRNOG00000000249	159	194	238	340	365	352
ENSRNOG00000000250	348	522	539	730	912	729
ENSRNOG00000000251	0	0	1	1	0	0
ENSRNOG00000000252	0	0	0	0	0	0
ENSRNOG00000000257	10	8	13	62	49	37
ENSRNOG00000000258	627	733	794	1044	986	948
ENSRNOG00000000262	970	1235	1265	730	750	705
ENSRNOG00000000264	433	449	543	718	734	614
ENSRNOG00000000274	1	2	4	1	0	0
ENSRNOG00000000275	10	26	18	9	23	18
ENSRNOG00000000277	452	551	529	564	466	539
ENSRNOG00000000279	551	807	711	811	831	815
ENSRNOG00000000281	87	110	136	291	333	295
ENSRNOG00000000282	0	0	0	0	0	0
ENSRNOG00000000283	515	576	682	526	649	517
ENSRNOG00000000288	154	173	198	174	185	153
ENSRNOG00000000299	1244	1711	1640	2234	1828	2525
ENSRNOG00000000302	703	881	970	1500	1531	1556
ENSRNOG00000000303	492	660	641	1046	860	846
ENSRNOG00000000304	3756	4571	4526	4845	5093	4300
ENSRNOG00000000306	254	275	341	205	195	195
ENSRNOG00000000307	1416	1702	1608	4135	4413	3746
ENSRNOG00000000308	383	518	547	365	433	355
ENSRNOG00000000312	1458	1832	2023	1013	1056	985
ENSRNOG00000000314	6600	9484	8251	8777	8417	7624
ENSRNOG00000000316	10	7	6	95	92	96
ENSRNOG00000000320	1	2	1	1	2	0
ENSRNOG00000000321	20	35	23	3111	3225	2917
ENSRNOG00000000322	1075	1460	1414	1425	1332	1461
ENSRNOG00000000323	1	6	2	2	2	1
ENSRNOG00000000327	1204	1608	1527	1537	1603	1576
ENSRNOG00000000335	1	1	0	0	0	0
ENSRNOG00000000340	5535	6255	8038	15616	14092	12517
ENSRNOG00000000341	11472	15873	13630	39987	42474	41979
ENSRNOG00000000345	0	0	1	1	1	1
ENSRNOG00000000368	17882	36789	19497	23092	16083	25146
ENSRNOG00000000373	5824	14585	6696	13111	9154	14431
ENSRNOG00000000376	33	30	61	47	50	41
ENSRNOG00000000378	517	942	671	1368	1189	1526
ENSRNOG00000000383	4	4	14	1	5	5
ENSRNOG00000000384	0	0	0	0	0	0
ENSRNOG00000000386	8	13	14	321	328	327
ENSRNOG00000000387	653	855	758	627	675	649
ENSRNOG00000000390	12	25	21	14	13	14
ENSRNOG00000000392	666	897	915	1583	1558	1428
ENSRNOG00000000394	10	9	4	22	21	18
ENSRNOG00000000395	1684	2014	2414	4960	5021	4620
ENSRNOG00000000396	2617	3387	3648	3937	4269	4398
ENSRNOG00000000397	2222	3369	2988	4222	3970	3386
ENSRNOG00000000398	721	881	868	1099	1119	934
ENSRNOG00000000401	0	0	1	0	0	1
ENSRNOG00000000405	0	0	0	0	0	1
ENSRNOG00000000406	4	5	5	6	7	8
ENSRNOG00000000407	256	426	391	2647	2654	2654
ENSRNOG00000000408	1754	2287	2308	3915	4310	3650
ENSRNOG00000000410	2	2	1	30	18	24
ENSRNOG00000000411	2594	3721	3485	4901	5405	4550
ENSRNOG00000000412	15888	25373	19514	5280	4428	4951
ENSRNOG00000000413	7	7	2	1	4	2
ENSRNOG00000000414	1391	2477	1511	1112	911	1144
ENSRNOG00000000415	1476	1789	2017	1656	1651	1606
ENSRNOG00000000417	10399	11691	14058	10151	9482	10118
ENSRNOG00000000418	84	124	140	114	97	89
ENSRNOG00000000419	0	0	0	0	0	0
ENSRNOG00000000420	379	487	530	657	720	622
ENSRNOG00000000421	828	934	1107	1692	2045	1800
ENSRNOG00000000422	76	95	131	143	157	134
ENSRNOG00000000423	0	0	0	0	0	0
ENSRNOG00000000428	0	0	0	0	0	0
ENSRNOG00000000431	427	579	551	807	783	808
ENSRNOG00000000432	152	219	274	1755	1859	1535
ENSRNOG00000000433	7	30	12	342	301	351
ENSRNOG00000000435	0	0	0	0	0	0
ENSRNOG00000000436	0	0	0	0	0	0
ENSRNOG00000000437	794	1020	861	1037	1026	1143
ENSRNOG00000000438	0	0	0	0	0	0
ENSRNOG00000000439	57	71	90	62	84	74
ENSRNOG00000000440	1472	1883	2115	2260	2262	2139
ENSRNOG00000000441	4	13	4	5	6	5
ENSRNOG00000000442	91	99	125	233	192	195
ENSRNOG00000000443	289	428	420	923	989	938
ENSRNOG00000000446	0	0	0	0	0	0
ENSRNOG00000000451	0	0	0	0	0	0
ENSRNOG00000000454	0	0	0	0	0	0
ENSRNOG00000000455	1	12	11	0	1	0
ENSRNOG00000000456	1	1	1	2	0	0
ENSRNOG00000000457	133	162	198	84	75	81
ENSRNOG00000000459	18	28	33	7	6	4
ENSRNOG00000000461	8	12	10	13	8	3
ENSRNOG00000000463	204	305	366	522	561	610
ENSRNOG00000000464	440	553	706	796	906	758
ENSRNOG00000000465	2016	2704	2819	4183	4391	3948
ENSRNOG00000000466	121	146	162	272	293	233
ENSRNOG00000000467	397	467	634	795	838	712
ENSRNOG00000000470	2635	2882	3956	4072	4528	4424
ENSRNOG00000000471	36	32	38	71	71	61
ENSRNOG00000000473	497	601	785	1108	1356	1050
ENSRNOG00000000474	414	549	579	481	471	438
ENSRNOG00000000476	592	814	710	710	719	604
ENSRNOG00000000477	478	630	694	739	745	654
ENSRNOG00000000478	4	4	6	9	1	10
ENSRNOG00000000479	17	26	26	39	45	41
ENSRNOG00000000480	206	296	271	123	107	111
ENSRNOG00000000481	295	339	390	504	581	442
ENSRNOG00000000483	420	637	485	552	539	634
ENSRNOG00000000485	506	621	557	716	725	690
ENSRNOG00000000486	19	15	27	36	43	46
ENSRNOG00000000487	0	0	0	0	0	0
ENSRNOG00000000488	686	758	773	218	235	247
ENSRNOG00000000490	1444	1642	2300	2865	3371	2705
ENSRNOG00000000491	3	5	7	4	1	0
ENSRNOG00000000493	238	354	357	415	455	458
ENSRNOG00000000495	746	958	910	888	1063	840
ENSRNOG00000000498	1942	2856	2412	5478	5275	5892
ENSRNOG00000000499	1	0	1	10	7	8
ENSRNOG00000000500	1826	2419	2452	34	27	64
ENSRNOG00000000501	465	580	711	1142	1109	987
ENSRNOG00000000502	2	2	3	6	5	7
ENSRNOG00000000503	372	577	467	784	699	759
ENSRNOG00000000504	259	271	364	261	273	295
ENSRNOG00000000505	1741	1725	2471	3528	4486	3360
ENSRNOG00000000506	550	820	654	313	322	324
ENSRNOG00000000507	0	1	1	0	0	0
ENSRNOG00000000508	0	1	1	0	0	0
ENSRNOG00000000510	0	0	0	0	0	0
ENSRNOG00000000511	1487	1939	2037	2273	2309	2133
ENSRNOG00000000512	113	142	153	174	181	156
ENSRNOG00000000513	4806	6317	6179	3247	3203	3413
ENSRNOG00000000515	0	0	1	0	0	0
ENSRNOG00000000516	0	0	0	0	0	0
ENSRNOG00000000517	549	821	783	776	737	717
ENSRNOG00000000519	1510	1920	1920	1696	1771	1740
ENSRNOG00000000520	6437	7006	9832	10229	11347	9824
ENSRNOG00000000521	104	97	156	493	476	609
ENSRNOG00000000522	3	5	6	3	5	2
ENSRNOG00000000523	375	378	495	769	829	738
ENSRNOG00000000524	1158	1537	1486	1766	1624	1598
ENSRNOG00000000525	29	34	36	37	38	43
ENSRNOG00000000527	4167	4868	5948	5612	5345	5383
ENSRNOG00000000528	3	3	6	9	9	25
ENSRNOG00000000529	277	294	295	10	25	9
ENSRNOG00000000531	63	82	70	104	98	103
ENSRNOG00000000532	2494	2955	3407	4789	5108	4636
ENSRNOG00000000536	4	7	8	19	16	30
ENSRNOG00000000540	2036	4076	2263	2135	1712	2306
ENSRNOG00000000541	2536	2764	3577	8037	8795	7457
ENSRNOG00000000542	11	9	10	3	6	8
ENSRNOG00000000543	45	40	40	47	35	40
ENSRNOG00000000546	1479	2881	1763	2362	2042	2276
ENSRNOG00000000547	204	241	215	209	248	204
ENSRNOG00000000549	1443	1735	2184	2439	2662	2328
ENSRNOG00000000551	68	72	73	51	55	47
ENSRNOG00000000552	3	3	5	2	1	1
ENSRNOG00000000556	2	3	5	5	5	5
ENSRNOG00000000557	10917	12532	14696	15574	16988	15367
