Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000001607,3950.275591,-4.958193939,0.115731032,-42.84238938,0,0
ENSRNOG00000001807,1916.897215,-4.901684832,0.123457143,-39.70353364,0,0
ENSRNOG00000002050,17828.75249,-8.887430753,0.154884681,-57.38095397,0,0
ENSRNOG00000002171,2286.250162,4.50138158,0.113501005,39.65939841,0,0
ENSRNOG00000002403,5993.875273,-6.1632632,0.118016741,-52.22363505,0,0
ENSRNOG00000002728,9810.023305,-4.531275633,0.116801845,-38.79455536,0,0
ENSRNOG00000003105,10647.06384,4.865164611,0.108312935,44.9176693,0,0
ENSRNOG00000003745,10034.26092,-4.686260231,0.102136918,-45.88213846,0,0
ENSRNOG00000003772,4429.955675,7.171579269,0.144580159,49.60279011,0,0
ENSRNOG00000004048,5492.356492,-4.461779577,0.10870741,-41.04393241,0,0
ENSRNOG00000004110,9486.254298,6.839044655,0.147519846,46.36016666,0,0
ENSRNOG00000004303,65073.70473,3.126312743,0.074029511,42.23062829,0,0
ENSRNOG00000004841,4427.635377,-6.541760162,0.166257929,-39.34705683,0,0
ENSRNOG00000005392,31600.96725,-3.827033616,0.09695347,-39.47288941,0,0
ENSRNOG00000005934,17650.83745,6.207818391,0.160027421,38.79221672,0,0
ENSRNOG00000006503,5626.426277,6.328824195,0.116532639,54.30945584,0,0
ENSRNOG00000006631,23361.53661,-8.624925954,0.151178513,-57.05126856,0,0
ENSRNOG00000006645,5415.935931,8.024198432,0.185003469,43.37323234,0,0
ENSRNOG00000007237,11109.74371,4.180210488,0.08138031,51.36636253,0,0
ENSRNOG00000007329,10273.202,-4.818605581,0.108120449,-44.56701409,0,0
ENSRNOG00000008012,14848.56414,-8.294205809,0.126517732,-65.55765478,0,0
ENSRNOG00000008061,2864.217676,5.182454211,0.12432591,41.68442622,0,0
ENSRNOG00000008209,2994.738324,-6.795167617,0.177478676,-38.28723403,0,0
ENSRNOG00000008534,5300.001127,8.327489392,0.193792004,42.97127447,0,0
ENSRNOG00000008676,17295.60857,-6.028398498,0.129352675,-46.6043591,0,0
ENSRNOG00000008941,9102.598186,-4.886023733,0.097161259,-50.28777689,0,0
ENSRNOG00000009531,4419.527225,4.4189799,0.101038597,43.73556278,0,0
ENSRNOG00000010161,14037.82035,-5.683329606,0.131587277,-43.19057076,0,0
ENSRNOG00000010238,1590.229886,-4.912583621,0.12429597,-39.52327346,0,0
ENSRNOG00000010326,2611.481472,-4.908938756,0.127141014,-38.61019032,0,0
ENSRNOG00000010645,3575.665254,-4.665909406,0.108495576,-43.00552689,0,0
ENSRNOG00000010812,4835.631168,4.525671455,0.119271378,37.94432107,0,0
ENSRNOG00000011211,9023.505754,9.109212103,0.209481107,43.48464743,0,0
ENSRNOG00000011521,4108.216295,4.946168529,0.126711648,39.03483707,0,0
ENSRNOG00000011680,3231.57914,7.947076539,0.206611428,38.46387684,0,0
ENSRNOG00000011821,22852.27696,-5.923083829,0.102233305,-57.93692973,0,0
ENSRNOG00000011921,6214.176571,4.126340239,0.098016872,42.0982649,0,0
ENSRNOG00000012584,2715.940318,5.204115204,0.133610766,38.94981928,0,0
ENSRNOG00000012906,25466.69814,9.91208503,0.162895668,60.84928559,0,0
ENSRNOG00000013102,7685.18442,-5.795668968,0.104901345,-55.24875758,0,0
ENSRNOG00000013535,8232.603031,4.31817252,0.091943323,46.96559119,0,0
ENSRNOG00000013798,5815.256853,-3.532528829,0.08240191,-42.86950173,0,0
ENSRNOG00000013825,4429.163343,7.596917242,0.154690661,49.11038053,0,0
ENSRNOG00000013962,3245.914282,6.833223023,0.181593293,37.62926987,0,0
ENSRNOG00000014104,3271.760848,-6.950458085,0.175659187,-39.5678597,0,0
ENSRNOG00000014143,10797.19749,9.953117186,0.220316449,45.17645976,0,0
ENSRNOG00000014293,14188.81338,8.901428152,0.14836692,59.99604336,0,0
ENSRNOG00000014310,9351.239578,-6.044429982,0.10141546,-59.60067618,0,0
ENSRNOG00000015093,20081.67412,11.52148318,0.249171066,46.23924988,0,0
ENSRNOG00000015353,16763.52096,6.5230937,0.135439861,48.16228883,0,0
ENSRNOG00000015445,15863.32105,7.685984645,0.176896588,43.44902699,0,0
ENSRNOG00000015498,2734.98588,6.581662059,0.154967662,42.47119686,0,0
ENSRNOG00000015859,1903.786492,5.655498905,0.140368842,40.2902726,0,0
ENSRNOG00000015971,25842.24531,4.182498038,0.079904957,52.34341166,0,0
ENSRNOG00000016343,2586.085158,4.772639436,0.118872421,40.14925733,0,0
ENSRNOG00000016496,12071.25864,5.41410479,0.097138931,55.73568409,0,0
ENSRNOG00000016516,63290.30588,3.95860723,0.096977002,40.82006181,0,0
ENSRNOG00000016558,1997.429685,6.842621691,0.176605523,38.74523056,0,0
ENSRNOG00000016678,9366.323578,-4.206417802,0.101533739,-41.42876893,0,0
ENSRNOG00000016758,3350.856489,-6.924654479,0.151255614,-45.7811404,0,0
ENSRNOG00000016890,2596.688786,-6.233668296,0.144356575,-43.18243405,0,0
ENSRNOG00000017307,1747.587735,4.804398039,0.126561265,37.96104629,0,0
ENSRNOG00000017459,5855.685737,7.113054715,0.137222601,51.83588324,0,0
ENSRNOG00000018126,105191.3694,3.576606631,0.074568063,47.96432258,0,0
ENSRNOG00000018369,45850.51697,7.916865742,0.105761974,74.85550294,0,0
ENSRNOG00000018905,4156.701794,6.70930131,0.17687647,37.93213033,0,0
ENSRNOG00000018992,4812.173433,-7.929156413,0.18392528,-43.11074812,0,0
ENSRNOG00000019549,4770.741392,-5.051406037,0.101187595,-49.92119861,0,0
ENSRNOG00000019587,31063.49602,4.049924955,0.091685527,44.17191132,0,0
ENSRNOG00000020205,12522.01047,-4.028306448,0.082551558,-48.79746142,0,0
ENSRNOG00000020716,9214.617912,-5.330576181,0.101371665,-52.5844787,0,0
ENSRNOG00000021023,4273.676434,8.314069111,0.193132679,43.04848444,0,0
ENSRNOG00000021087,7396.628954,-5.122193191,0.114173805,-44.86312067,0,0
ENSRNOG00000022337,6048.864401,-8.857078757,0.186798361,-47.41518456,0,0
ENSRNOG00000022631,6538.2995,-6.364887593,0.168179427,-37.84581572,0,0
ENSRNOG00000022707,51654.68215,7.155789429,0.105579243,67.77647994,0,0
ENSRNOG00000023109,8457.779599,9.703262173,0.211455878,45.88788103,0,0
ENSRNOG00000023993,16395.6387,3.013831679,0.078366285,38.458269,0,0
ENSRNOG00000024190,2204.732256,6.336363556,0.166477127,38.06146619,0,0
ENSRNOG00000024620,5430.088331,9.536403538,0.244154561,39.05887928,0,0
ENSRNOG00000025332,4597.945384,-7.458769694,0.157653668,-47.31110791,0,0
ENSRNOG00000026842,2388.504137,-3.634664631,0.092719929,-39.2004682,0,0
ENSRNOG00000028930,6429.846746,8.176251104,0.181330014,45.09044538,0,0
ENSRNOG00000029778,3088.064883,7.861817149,0.198624135,39.58137883,0,0
ENSRNOG00000030449,2713.258157,6.015448052,0.154785936,38.86301435,0,0
ENSRNOG00000031743,37383.06923,-7.668824467,0.124774963,-61.46124432,0,0
ENSRNOG00000033528,3871.802009,5.91018754,0.15174483,38.94819693,0,0
ENSRNOG00000047686,6239.839179,7.528271877,0.137777425,54.64082303,0,0
ENSRNOG00000048166,6395.166789,6.910668549,0.132166231,52.2877024,0,0
ENSRNOG00000049437,15602.1949,-3.766359737,0.083093351,-45.32684845,0,0
ENSRNOG00000051952,7020.914906,-3.99465014,0.086257278,-46.31087655,0,0
ENSRNOG00000052618,8070.195866,7.927038933,0.151935906,52.17357207,0,0
ENSRNOG00000053200,7966.687408,6.445098444,0.119031749,54.14604516,0,0
ENSRNOG00000058645,78624.35011,-6.695238639,0.107376799,-62.35274962,0,0
ENSRNOG00000061230,9557.207094,-4.367877439,0.095116625,-45.92128305,0,0
ENSRNOG00000002229,4529.421571,-4.905202896,0.130768772,-37.51050681,6.21E-308,1.21E-305
ENSRNOG00000016117,20104.52496,-4.167804156,0.111815642,-37.27389182,4.35E-304,8.37E-302
ENSRNOG00000052758,6788.201005,-3.593698166,0.096633897,-37.18879485,1.04E-302,1.97E-300
ENSRNOG00000018082,5508.004616,3.311557862,0.090355998,36.65011665,4.56E-294,8.60E-292
ENSRNOG00000010105,1366.108291,-4.922210755,0.134519291,-36.59111425,3.96E-293,7.40E-291
ENSRNOG00000017354,2492.445408,-4.131223386,0.113235901,-36.48333555,2.04E-291,3.77E-289
ENSRNOG00000013867,2401.551539,4.031057989,0.111405656,36.18360264,1.10E-286,2.02E-284
ENSRNOG00000003736,46897.18959,-3.052024027,0.084440493,-36.1440812,4.61E-286,8.36E-284
ENSRNOG00000006778,1765.406352,-4.679802475,0.129584003,-36.11404469,1.37E-285,2.45E-283
ENSRNOG00000033397,11731.64884,4.763283724,0.132073187,36.06548647,7.89E-285,1.40E-282
ENSRNOG00000004890,5179.819848,-7.472949307,0.207290659,-36.05058399,1.35E-284,2.38E-282
ENSRNOG00000029784,3403.875762,-4.58296153,0.127149345,-36.04392564,1.72E-284,3.00E-282
ENSRNOG00000016534,2360.128922,5.528107232,0.153744503,35.95645445,4.01E-283,6.94E-281
ENSRNOG00000032240,1895.953122,-5.36655486,0.149535847,-35.88808278,4.69E-282,8.03E-280
ENSRNOG00000003338,43113.47218,2.901416506,0.081204019,35.72996209,1.35E-279,2.30E-277
ENSRNOG00000037435,5875.856145,-8.570310795,0.240082362,-35.69737785,4.34E-279,7.31E-277
ENSRNOG00000033134,5264.544914,-5.499517796,0.154062794,-35.69659906,4.46E-279,7.45E-277
ENSRNOG00000010593,33598.006,4.420495681,0.124014232,35.6450675,2.81E-278,4.65E-276
ENSRNOG00000047799,2737.224779,3.340489,0.094005872,35.53489732,1.42E-276,2.33E-274
ENSRNOG00000024082,50072.10517,3.434261058,0.096669993,35.52561597,1.98E-276,3.21E-274
ENSRNOG00000016021,1072.669226,-5.132844043,0.145118633,-35.36998627,4.94E-274,7.96E-272
ENSRNOG00000016103,4588.358775,-5.731034969,0.162275754,-35.3166437,3.26E-273,5.21E-271
ENSRNOG00000015845,5635.53699,-3.355488392,0.095059123,-35.29896222,6.09E-273,9.64E-271
ENSRNOG00000028498,29483.29416,-2.5761053,0.073236788,-35.17501769,4.82E-271,7.57E-269
ENSRNOG00000029370,1547.43771,4.006111096,0.114235178,35.06897939,2.00E-269,3.12E-267
ENSRNOG00000011775,2669.579912,4.289512051,0.122348659,35.05973892,2.77E-269,4.28E-267
