Gene_ID,logFC,logCPM,LR,PValue,FDR
ENSRNOG00000015159,-12.26908695,8.601364993,2947.11536,0,0
ENSRNOG00000001528,12.18343939,8.166263782,2991.056734,0,0
ENSRNOG00000029318,-11.81685114,9.126319174,2680.085038,0,0
ENSRNOG00000013306,11.64696628,8.006361985,2170.515121,0,0
ENSRNOG00000015093,-11.64580433,9.218222024,2979.311763,0,0
ENSRNOG00000007922,-10.96778329,7.39358537,2738.092915,0,0
ENSRNOG00000033575,-10.94476844,7.457037373,2796.686651,0,0
ENSRNOG00000020694,-10.47191826,5.53892132,1757.328434,0,0
ENSRNOG00000018285,-10.4440294,6.068503325,1691.352862,0,0
ENSRNOG00000008671,-10.37809527,5.655219287,1792.967762,0,0
ENSRNOG00000014143,-10.04224261,8.323545693,2354.086989,0,0
ENSRNOG00000012906,-9.972493966,9.560823295,2476.301736,0,0
ENSRNOG00000007508,-9.857213713,6.370580333,1980.138714,0,0
ENSRNOG00000023109,-9.783612599,7.971300147,2752.970402,0,0
ENSRNOG00000024620,-9.635068989,7.332649611,2520.542549,0,0
ENSRNOG00000020151,-9.621275724,6.052785686,1938.763614,0,0
ENSRNOG00000011211,-9.187079021,8.064792751,1832.587423,0,0
ENSRNOG00000014293,-8.949836864,8.717342176,2608.966801,0,0
ENSRNOG00000002050,8.89702158,9.025174441,2194.162425,0,0
ENSRNOG00000022337,8.877841076,7.465393667,2471.014037,0,0
ENSRNOG00000006631,8.633331238,9.415347499,1948.904777,0,0
ENSRNOG00000012821,-8.566238284,4.814852713,1497.244874,0,0
ENSRNOG00000008534,-8.391736575,7.297608868,2001.772209,0,0
ENSRNOG00000025882,-8.39002358,5.93641098,1890.519773,0,0
ENSRNOG00000021023,-8.378452725,6.987623875,2180.949649,0,0
ENSRNOG00000019704,-8.294523118,5.800333707,1626.683832,0,0
ENSRNOG00000008012,8.292223295,8.761439576,2450.988016,0,0
ENSRNOG00000028930,-8.235003708,7.576265502,1946.685055,0,0
ENSRNOG00000006645,-8.083626997,7.32900586,1865.008739,0,0
ENSRNOG00000011680,-8.014239895,6.585066116,1828.402894,0,0
ENSRNOG00000052618,-7.973458027,7.903756096,2184.918854,0,0
ENSRNOG00000018369,-7.950228735,10.40899269,2124.404304,0,0
ENSRNOG00000018992,7.945379226,7.135199802,1807.387478,0,0
ENSRNOG00000029778,-7.925121418,6.519649775,1915.562248,0,0
ENSRNOG00000031743,7.666504427,10.09389046,1830.487031,0,0
ENSRNOG00000013825,-7.642120544,7.039005812,2219.425621,0,0
ENSRNOG00000047686,-7.570244993,7.532867937,2311.100951,0,0
ENSRNOG00000009331,7.538558108,5.287890013,1591.815684,0,0
ENSRNOG00000025332,7.463743704,7.069683271,1920.774306,0,0
ENSRNOG00000003772,-7.213155089,7.039270036,2063.141406,0,0
ENSRNOG00000022707,-7.189582894,10.58078219,1841.491163,0,0
ENSRNOG00000017459,-7.154079294,7.441217822,2061.967674,0,0
ENSRNOG00000048166,-6.949176142,7.568230624,1990.929437,0,0
ENSRNOG00000016758,6.925618491,6.613002404,1848.409699,0,0
ENSRNOG00000016558,-6.891827051,5.892554173,1647.567798,0,0
ENSRNOG00000004110,-6.881725036,8.136673575,1582.896513,0,0
ENSRNOG00000058645,6.686894769,11.16680773,1549.229086,0,0
ENSRNOG00000015498,-6.623771182,6.344652725,1684.216238,0,0
ENSRNOG00000015353,-6.562590885,8.957563517,1530.829705,0,0
ENSRNOG00000053200,-6.47973993,7.88493957,1892.677077,0,0
ENSRNOG00000006503,-6.361883476,7.383608175,1950.198078,0,0
ENSRNOG00000016890,6.230345282,6.24481002,1581.18855,0,0
ENSRNOG00000002403,6.154885971,7.452457694,1793.127627,0,0
ENSRNOG00000014310,6.032950343,8.094464187,1843.71351,0,0
ENSRNOG00000011821,5.911605889,9.383635464,1583.875845,0,0
ENSRNOG00000013102,5.783958813,7.811205146,1730.960452,0,0
ENSRNOG00000016496,-5.442851979,8.483686918,1594.563191,0,0
ENSRNOG00000020716,5.317955593,8.073451092,1505.197717,0,0
ENSRNOG00000000321,-6.729276435,5.434126841,1480.284327,9.88131291682493e-324,5.5088319511299e-321
ENSRNOG00000029938,-6.833285024,5.25546321,1475.454576,8.39911597930119e-323,4.60320962230289e-320
ENSRNOG00000014104,6.95951646,6.578407518,1471.017531,7.75683063970757e-322,4.18142578044822e-319
ENSRNOG00000019549,5.037985693,7.123419344,1446.635681,1.54352629427331e-316,8.18641534432044e-314
ENSRNOG00000005515,-6.949850316,5.366299031,1436.566066,2.38022320615439e-314,1.24236316965063e-311
ENSRNOG00000015445,-7.742305719,8.878084064,1422.751,2.39120453224035e-311,0.00E+00
ENSRNOG00000024190,-6.381555104,6.03455353,1410.213672,0.00E+00,6.41E-306
ENSRNOG00000017602,-8.407746067,4.841714044,1404.886648,1.82E-307,9.08E-305
ENSRNOG00000008676,6.023021166,8.981750168,1390.903166,1.99E-304,9.77E-302
ENSRNOG00000030449,-6.056662737,6.333087298,1386.098412,2.20E-303,1.07E-300
ENSRNOG00000029450,-8.492043344,5.012217978,1382.678522,1.22E-302,5.82E-300
ENSRNOG00000008209,6.80437366,6.45073683,1379.245818,6.80E-302,3.19E-299
ENSRNOG00000013962,-6.885979692,6.591385886,1368.204446,1.71E-299,7.90E-297
ENSRNOG00000008941,4.872243398,8.055927362,1367.529713,2.39E-299,1.09E-296
ENSRNOG00000015859,-5.690842127,5.823180334,1366.690747,3.64E-299,1.64E-296
ENSRNOG00000021087,5.11090947,7.756019593,1357.265734,4.06E-297,1.81E-294
ENSRNOG00000008061,-5.214807633,6.410693316,1352.33943,4.78E-296,2.10E-293
ENSRNOG00000006649,-7.487782716,5.330014834,1335.998004,1.70E-292,7.36E-290
ENSRNOG00000002381,11.2189106,4.714305527,1318.843255,9.09E-289,3.88E-286
ENSRNOG00000004841,6.547324422,7.015316885,1316.68852,2.67E-288,1.13E-285
ENSRNOG00000033528,-5.950734378,6.845125232,1285.478162,1.62E-281,6.74E-279
ENSRNOG00000018905,-6.760884605,6.947664411,1283.551842,4.24E-281,1.74E-278
ENSRNOG00000001607,4.947393489,6.851073526,1272.352422,1.15E-278,4.68E-276
ENSRNOG00000010161,5.677425308,8.680653931,1262.891621,1.31E-276,5.26E-274
ENSRNOG00000003105,-4.894773997,8.30249824,1258.088195,1.45E-275,5.74E-273
ENSRNOG00000012584,-5.2385315,6.334261906,1254.019075,1.11E-274,4.35E-272
ENSRNOG00000003746,-8.204251367,4.555186937,1252.538508,2.33E-274,9.02E-272
ENSRNOG00000048230,-6.242147903,5.072149545,1252.178536,2.79E-274,1.07E-271
ENSRNOG00000007329,4.806156922,8.230305965,1245.595238,7.52E-273,2.84E-270
ENSRNOG00000012083,-6.880809501,4.72872133,1244.665553,1.20E-272,4.48E-270
ENSRNOG00000003745,4.672756385,8.196433793,1243.695062,1.95E-272,7.19E-270
ENSRNOG00000010645,4.653183344,6.707347024,1234.947776,1.55E-270,5.66E-268
ENSRNOG00000003866,-8.270019208,4.525486831,1220.096515,2.62E-267,9.46E-265
ENSRNOG00000015717,-6.012748484,5.622727002,1202.781256,1.52E-263,5.42E-261
ENSRNOG00000013535,-4.343934324,7.93140355,1194.846998,8.04E-262,2.84E-259
ENSRNOG00000059538,10.94271378,4.437755164,1191.721957,3.84E-261,1.34E-258
ENSRNOG00000022631,6.370670395,7.57775597,1190.862181,5.90E-261,2.04E-258
ENSRNOG00000009531,-4.446110107,7.034956219,1187.412309,3.32E-260,1.14E-257
ENSRNOG00000057022,-8.133972283,4.38958495,1183.487061,2.37E-259,8.02E-257
ENSRNOG00000016343,-4.803073448,6.263492791,1182.180157,4.55E-259,1.53E-256
ENSRNOG00000011521,-4.979160562,6.930094331,1179.552038,1.70E-258,5.63E-256
ENSRNOG00000010238,4.90190071,5.537105415,1173.659646,3.23E-257,1.06E-254
ENSRNOG00000016534,-5.567385702,6.132253397,1163.855597,4.37E-255,1.42E-252
ENSRNOG00000007237,-4.204701792,8.363426827,1158.2815,7.11E-254,2.29E-251
ENSRNOG00000001807,4.8911046,5.806992232,1156.667441,1.60E-253,5.09E-251
ENSRNOG00000033059,-6.660121674,4.378237015,1147.339919,1.70E-251,5.37E-249
ENSRNOG00000061230,4.353100791,8.126614637,1147.26721,1.76E-251,5.52E-249
ENSRNOG00000037435,8.620974906,7.423493819,1145.601665,4.05E-251,1.26E-248
ENSRNOG00000010326,4.89977694,6.253548348,1142.889182,1.58E-250,4.84E-248
ENSRNOG00000017307,-4.835766761,5.69963315,1130.733838,6.90E-248,2.10E-245
ENSRNOG00000004676,7.890139086,4.406939347,1128.218216,2.43E-247,7.34E-245
ENSRNOG00000004048,4.448737636,7.327052799,1127.23334,3.98E-247,1.19E-244
ENSRNOG00000017118,7.7420725,4.531613497,1126.518607,5.69E-247,1.69E-244
ENSRNOG00000016021,5.126225693,4.967881108,1124.049376,1.96E-246,5.75E-244
ENSRNOG00000002171,-4.529917118,6.085936267,1120.820929,9.85E-246,2.87E-243
ENSRNOG00000032240,5.362224463,5.790977131,1119.779093,1.66E-245,4.79E-243
ENSRNOG00000004890,7.498851506,7.241530335,1115.409913,1.48E-244,4.23E-242
ENSRNOG00000010105,4.913171824,5.317696655,1114.364493,2.49E-244,7.07E-242
ENSRNOG00000005934,-6.253066941,9.031969191,1110.581141,1.66E-243,4.66E-241
ENSRNOG00000051952,3.978293322,7.681737239,1096.14034,2.28E-240,6.35E-238
ENSRNOG00000002229,4.896604032,7.048492787,1092.834325,1.19E-239,3.29E-237
ENSRNOG00000006527,-5.141296374,5.097103451,1089.493581,6.34E-239,1.74E-236
ENSRNOG00000011921,-4.152658071,7.525909672,1088.632817,9.76E-239,2.65E-236
ENSRNOG00000004736,6.859822243,4.674490145,1080.864993,4.76E-237,1.28E-234
ENSRNOG00000049452,-5.612261514,6.46144151,1080.520024,5.66E-237,1.51E-234
ENSRNOG00000025151,5.355711213,5.192261892,1076.459558,4.32E-236,1.15E-233
ENSRNOG00000003517,-6.588814957,4.308468949,1075.806786,5.99E-236,1.57E-233
ENSRNOG00000027024,8.016191736,6.355700859,1067.888709,3.15E-234,8.22E-232
ENSRNOG00000052080,-5.259293546,4.99360515,1066.952835,5.03E-234,1.30E-231
ENSRNOG00000010812,-4.555637223,7.164704646,1063.611512,2.68E-233,6.88E-231
ENSRNOG00000033134,5.498029489,7.265260171,1057.542581,5.58E-232,1.42E-229
ENSRNOG00000020205,4.011912869,8.516741237,1055.714318,1.39E-231,3.50E-229
ENSRNOG00000050848,-9.737386573,3.895297841,1055.713461,1.39E-231,3.50E-229
ENSRNOG00000059260,-5.386258645,5.223394871,1051.215958,1.32E-230,3.30E-228
ENSRNOG00000016103,5.732539974,7.066859552,1047.477196,8.60E-230,2.13E-227
ENSRNOG00000031136,7.414285248,4.536968104,1046.812883,1.20E-229,2.94E-227
ENSRNOG00000002773,-4.961495218,5.466471207,1044.172631,4.50E-229,1.10E-226
ENSRNOG00000030547,-6.041281886,4.451548386,1043.696528,5.71E-229,1.38E-226
ENSRNOG00000053728,8.928171161,4.676865189,1041.230254,1.96E-228,4.71E-226
ENSRNOG00000016678,4.192503962,8.097576985,1041.19893,1.99E-228,4.75E-226
ENSRNOG00000007705,-5.754801268,5.062805404,1041.1308,2.06E-228,4.88E-226
ENSRNOG00000061764,-8.818733512,6.312597549,1038.665937,7.08E-228,1.66E-225
ENSRNOG00000029784,4.572891336,6.636322613,1037.226664,1.45E-227,3.39E-225
ENSRNOG00000010450,-8.656624123,3.738381485,1037.169466,1.50E-227,3.47E-225
ENSRNOG00000015971,-4.207233582,9.580845359,1033.597487,8.94E-227,2.06E-224
ENSRNOG00000002728,4.520263737,8.164360047,1033.101764,1.15E-226,2.62E-224
ENSRNOG00000049218,-10.6702344,3.524408342,1024.810121,7.27E-225,1.65E-222
ENSRNOG00000021091,-7.180416074,3.798029508,1022.865616,1.92E-224,4.33E-222
ENSRNOG00000013953,-10.031664,3.681337406,1015.333705,8.34E-223,1.87E-220
ENSRNOG00000012719,5.204670622,4.526607201,1014.878711,1.05E-222,2.33E-220
ENSRNOG00000006778,4.670372827,5.688179539,1013.606947,1.98E-222,4.37E-220
ENSRNOG00000012660,-5.61800045,8.08208198,1006.367236,7.42E-221,1.63E-218
ENSRNOG00000056940,5.13063621,4.704495292,1003.063771,3.88E-220,8.44E-218
ENSRNOG00000011775,-4.319699852,6.308800491,990.0740178,2.58E-217,5.58E-215
ENSRNOG00000033397,-4.79706986,8.442471939,989.5131632,3.42E-217,7.35E-215
ENSRNOG00000020482,5.454993256,4.220104745,989.0548217,4.30E-217,9.18E-215
ENSRNOG00000009354,-6.735438338,3.82380519,984.494265,4.21E-216,8.94E-214
ENSRNOG00000026704,-7.476259208,3.738211973,976.9601676,1.83E-214,3.86E-212
