Ensembl_ID,Change,Name,Biotype,Chr,Length,Exonic Length,TSS_Downregulated,Downstream_Promoter_Downregulated,Gene_Body_Downregulated,Upstream_Promoter_Downregulated,TSS_Nondifferential,Downstream_Promoter_Nondifferential,Gene_Body_Nondifferential,Upstream_Promoter_Nondifferential,TSS_Upregulated,Downstream_Promoter_Upregulated,Gene_Body_Upregulated,Upstream_Promoter_Upregulated
ENSG00000000003,Downregulated,TSPAN6,protein_coding,X,9996.0,3796.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000419,Nondifferential,DPM1,protein_coding,20,23689.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000000457,Nondifferential,SCYL3,protein_coding,1,44322.0,6364.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ENSG00000000460,Nondifferential,C1orf112,protein_coding,1,58672.0,4355.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
ENSG00000000971,Upregulated,CFH,protein_coding,1,95627.0,4127.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001036,Nondifferential,FUCA2,protein_coding,6,16880.0,2356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000001084,Nondifferential,GCLC,protein_coding,6,47789.0,3813.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
ENSG00000001167,Nondifferential,NFYA,protein_coding,6,27032.0,3811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001460,Nondifferential,STPG1,protein_coding,1,58099.0,2804.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
ENSG00000001461,Nondifferential,NIPAL3,protein_coding,1,57174.0,5481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSG00000001497,Nondifferential,LAS1L,protein_coding,X,22175.0,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001561,Downregulated,ENPP4,protein_coding,6,16707.0,4651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001629,Nondifferential,ANKIB1,protein_coding,7,155151.0,6081.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0
ENSG00000001631,Nondifferential,KRIT1,protein_coding,7,47132.0,4762.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002016,Nondifferential,RAD52,protein_coding,12,37646.0,2710.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
ENSG00000002079,Downregulated,MYH16,transcribed_unitary_pseudogene,7,67981.0,5836.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0
ENSG00000002330,Upregulated,BAD,protein_coding,11,14810.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002549,Upregulated,LAP3,protein_coding,4,30777.0,2213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002586,Nondifferential,CD99,protein_coding,X,50131.0,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0
ENSG00000002822,Upregulated,MAD1L1,protein_coding,7,417450.0,2991.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,7.0,20.0,1.0
ENSG00000002834,Nondifferential,LASP1,protein_coding,17,51912.0,4109.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,3.0
ENSG00000002919,Nondifferential,SNX11,protein_coding,17,15517.0,2733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003056,Nondifferential,M6PR,protein_coding,12,9591.0,2756.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003096,Upregulated,KLHL13,protein_coding,X,50129.0,5331.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003137,Nondifferential,CYP26B1,protein_coding,2,18801.0,4732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
ENSG00000003147,Upregulated,ICA1,protein_coding,7,149098.0,2458.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
ENSG00000003249,Nondifferential,DBNDD1,protein_coding,16,5339.0,2689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000003393,Nondifferential,ALS2,protein_coding,2,80636.0,6644.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ENSG00000003402,Upregulated,CFLAR,protein_coding,2,60584.0,14672.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0
ENSG00000003436,Nondifferential,TFPI,protein_coding,2,90232.0,3885.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0
ENSG00000003509,Nondifferential,NDUFAF7,protein_coding,2,17495.0,2176.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
